CLASS,ACCURACY
Air Conditioner,0.781
Car Horn,0.7132867132867133
Children Playing,0.59
Dog bark,0.709
Drilling,0.746
Engine Idling,0.806
Gun Shot,0.8957219251336899
Jackhammer,0.839
Siren,0.8030139935414424
Street Music,0.616
